stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;32;1;7000;96579368421,05
abracadabra;32;2;7000;94102974358,97
abracadabra;32;3;7000;96579368421,05
abracadabra;32;4;7000;95325090909,09
abracadabra;32;5;7000;99189621621,62
abracadabra;32;6;7000;96579368421,05
abracadabra;32;7;7000;96579368421,05
abracadabra;32;8;7000;96579368421,05
abracadabra;32;9;7000;95325090909,09
abracadabra;32;10;7000;81555911111,11
abracadabra;32;11;7000;70577230769,23
abracadabra;32;12;7000;74141737373,74
abracadabra;32;13;7000;87381333333,33
abracadabra;32;14;7000;94102974358,97
abracadabra;32;15;7000;94102974358,97
abracadabra;32;16;7000;94102974358,97
abracadabra;32;17;7000;95325090909,09
abracadabra;32;18;7000;95325090909,09
abracadabra;32;19;7000;96579368421,05
abracadabra;32;20;7000;95325090909,09
abracadabra;32;21;7000;89512585365,85
abracadabra;32;22;7000;82472269662,92
abracadabra;32;23;7000;79782956521,74
abracadabra;32;24;7000;84368183908,05
abracadabra;32;25;7000;89512585365,85
abracadabra;32;26;7000;91750400000,00
abracadabra;32;27;7000;95325090909,09
abracadabra;32;28;7000;95325090909,09
abracadabra;32;29;7000;95325090909,09
abracadabra;32;30;7000;96579368421,05
abracadabra;64;1;7000;143922196078,43
abracadabra;64;2;7000;135926518518,52
abracadabra;64;3;7000;131072000000,00
abracadabra;64;4;7000;124407322033,90
abracadabra;64;5;7000;122333866666,67
abracadabra;64;6;7000;124407322033,90
abracadabra;64;7;7000;120328393442,62
abracadabra;64;8;7000;124407322033,90
abracadabra;64;9;7000;128772491228,07
abracadabra;64;10;7000;131072000000,00
abracadabra;64;11;7000;135926518518,52
abracadabra;64;12;7000;135926518518,52
abracadabra;64;13;7000;141154461538,46
abracadabra;64;14;7000;138491169811,32
abracadabra;64;15;7000;149796571428,57
abracadabra;64;16;7000;149796571428,57
abracadabra;64;17;7000;152917333333,33
abracadabra;64;18;7000;149796571428,57
abracadabra;64;19;7000;143922196078,43
abracadabra;64;20;7000;141154461538,46
abracadabra;64;21;7000;133455127272,73
abracadabra;64;22;7000;128772491228,07
abracadabra;64;23;7000;143922196078,43
abracadabra;64;24;7000;141154461538,46
abracadabra;64;25;7000;135926518518,52
abracadabra;64;26;7000;133455127272,73
abracadabra;64;27;7000;133455127272,73
abracadabra;64;28;7000;141154461538,46
abracadabra;64;29;7000;146800640000,00
abracadabra;64;30;7000;146800640000,00
abracadabra;96;1;7000;138491169811,32
abracadabra;96;2;7000;133455127272,73
abracadabra;96;3;7000;135926518518,52
abracadabra;96;4;7000;138491169811,32
abracadabra;96;5;7000;143922196078,43
abracadabra;96;6;7000;143922196078,43
abracadabra;96;7;7000;131072000000,00
abracadabra;96;8;7000;122333866666,67
abracadabra;96;9;7000;131072000000,00
abracadabra;96;10;7000;133455127272,73
abracadabra;96;11;7000;146800640000,00
abracadabra;96;12;7000;143922196078,43
abracadabra;96;13;7000;141154461538,46
abracadabra;96;14;7000;149796571428,57
abracadabra;96;15;7000;143922196078,43
abracadabra;96;16;7000;146800640000,00
abracadabra;96;17;7000;146800640000,00
abracadabra;96;18;7000;146800640000,00
abracadabra;96;19;7000;143922196078,43
abracadabra;96;20;7000;149796571428,57
abracadabra;96;21;7000;146800640000,00
abracadabra;96;22;7000;146800640000,00
abracadabra;96;23;7000;152917333333,33
abracadabra;96;24;7000;149796571428,57
abracadabra;96;25;7000;146800640000,00
abracadabra;96;26;7000;146800640000,00
abracadabra;96;27;7000;143922196078,43
abracadabra;96;28;7000;149796571428,57
abracadabra;96;29;7000;149796571428,57
abracadabra;96;30;7000;146800640000,00
abracadabra;128;1;7000;149796571428,57
abracadabra;128;2;7000;149796571428,57
abracadabra;128;3;7000;149796571428,57
abracadabra;128;4;7000;149796571428,57
abracadabra;128;5;7000;149796571428,57
